title,source,creator,subject,date
சின்னஞ்சிறு பாடல்கள்,https://ta.wikisource.org/wiki/சின்னஞ்சிறு பாடல்கள்,குழந்தைக் கவிஞர் அழ. வள்ளியப்பா,,1992
சீர்மிகு சிவகங்கைச் சீமை,https://ta.wikisource.org/wiki/சீர்மிகு சிவகங்கைச் சீமை,எஸ். எம். கமால்,,1997
சேதுபதி மன்னர் வரலாறு,https://ta.wikisource.org/wiki/சேதுபதி மன்னர் வரலாறு,எஸ். எம். கமால்,,2003
மிஸ்டர் விக்கிரமாதித்தன் கதைகள்,https://ta.wikisource.org/wiki/மிஸ்டர் விக்கிரமாதித்தன் கதைகள்,விந்தன்,புதினங்கள்,2000
ஏழாவது வாசல்,https://ta.wikisource.org/wiki/ஏழாவது வாசல்,பாவலர் நாரா. நாச்சியப்பன்,,1993
ஓலைக் கிளி,https://ta.wikisource.org/wiki/ஓலைக் கிளி,கவிஞர் பெரியசாமித்தூரன்,,1985
ஆரியப்பார்ப்பனரின் அளவிறந்த கொட்டங்கள்,https://ta.wikisource.org/wiki/ஆரியப்பார்ப்பனரின் அளவிறந்த கொட்டங்கள்,பாவலரேறு பெருஞ்சித்திரனார்,,2005
இந்தியப் பெருங்கடல்,https://ta.wikisource.org/wiki/இந்தியப் பெருங்கடல்,பேரா. அ. கி. மூர்த்தி,,1979
எனது நண்பர்கள்,https://ta.wikisource.org/wiki/எனது நண்பர்கள்,கி. ஆ. பெ. விசுவநாதம்,,1999
விடுதலைப்போரில் சேதுபதி மன்னர்,https://ta.wikisource.org/wiki/விடுதலைப்போரில் சேதுபதி மன்னர்,எஸ். எம். கமால்,,1997
கப்பலோட்டிய தமிழன் வ. உ. சிதம்பரம்,https://ta.wikisource.org/wiki/கப்பலோட்டிய தமிழன் வ. உ. சிதம்பரம்,என். வி. கலைமணி,,2001
வ. உ. சி. முற்போக்கு இயக்கங்களின் முன்னோடி,https://ta.wikisource.org/wiki/வ. உ. சி. முற்போக்கு இயக்கங்களின் முன்னோடி,நா. வானமாமலை,,1999
நெஞ்சக்கனல்,https://ta.wikisource.org/wiki/நெஞ்சக்கனல்,நா. பார்த்தசாரதி,,1998
மகாபாரதம்-அறத்தின் குரல்,https://ta.wikisource.org/wiki/மகாபாரதம்-அறத்தின் குரல்,நா. பார்த்தசாரதி,,2000
இளைஞர்களுக்கு தந்தை பெரியார் வரலாறு,https://ta.wikisource.org/wiki/இளைஞர்களுக்கு தந்தை பெரியார் வரலாறு,பாவலர் நாரா. நாச்சியப்பன்,,1997
தமிழ் நாடக வரலாறும் சங்கரதாச சுவாமிகளும்,https://ta.wikisource.org/wiki/தமிழ் நாடக வரலாறும் சங்கரதாச சுவாமிகளும்,பேராசிரியர் அ. ச. ஞானசம்பந்தன்,,2002
இந்திய நாத்திகமும் மார்க்சீயத் தத்துவமும்,https://ta.wikisource.org/wiki/இந்திய நாத்திகமும் மார்க்சீயத் தத்துவமும்,நா. வானமாமலை,,1989
வெற்றி முழக்கம்,https://ta.wikisource.org/wiki/வெற்றி முழக்கம்,நா. பார்த்தசாரதி,வரலாற்றுப் புதினங்கள்,2003
அறிவுக் கதைகள்,https://ta.wikisource.org/wiki/அறிவுக் கதைகள்,கி. ஆ. பெ. விசுவநாதம்,சிறுவர் கதைகள்,1998
பாரதியின் இலக்கியப் பார்வை,https://ta.wikisource.org/wiki/பாரதியின் இலக்கியப் பார்வை,கோவை இளஞ்சேரன்‎,,1981
கல்வி எனும் கண்,https://ta.wikisource.org/wiki/கல்வி எனும் கண்,அ. மு. பரமசிவானந்தம்‎,,1991
பண்டிதரின் கொடை-விகிதாச்சார உரிமை எனும் சமூகநீதிக் கொள்கை,https://ta.wikisource.org/wiki/பண்டிதரின் கொடை-விகிதாச்சார உரிமை எனும் சமூகநீதிக் கொள்கை,கௌதம சன்னா,சமூக நூல்கள்,2007
இந்திய சமுதாய வரலாற்றில் பெண்மை,https://ta.wikisource.org/wiki/இந்திய சமுதாய வரலாற்றில் பெண்மை,ராஜம் கிருஷ்ணன்,சமூக நூல்கள்,2006
ஆஞ்சநேய புராணம்,https://ta.wikisource.org/wiki/ஆஞ்சநேய புராணம்,பேரா. அ. திருமலைமுத்துசாமி,,1978
ஈரோட்டுத் தாத்தா,https://ta.wikisource.org/wiki/ஈரோட்டுத் தாத்தா,பாவலர் நாரா. நாச்சியப்பன்,,1995
நபிகள் நாயகம்-கி. ஆ. பெ. விசுவநாதம்,https://ta.wikisource.org/wiki/நபிகள் நாயகம்-கி. ஆ. பெ. விசுவநாதம்,கி. ஆ. பெ. விசுவநாதம்,,1994
ஆரியர்க்கு முற்பட்ட தமிழ்ப்பண்பாடு,https://ta.wikisource.org/wiki/ஆரியர்க்கு முற்பட்ட தமிழ்ப்பண்பாடு,புலவர் கா. கோவிந்தன்,,1999
ஆர்க்டிக் பெருங்கடல்,https://ta.wikisource.org/wiki/ஆர்க்டிக் பெருங்கடல்,பேரா. அ. கி. மூர்த்தி,,1979
கடவுள் வழிபாட்டு வரலாறு,https://ta.wikisource.org/wiki/கடவுள் வழிபாட்டு வரலாறு,பேரா. சுந்தரசண்முகனார்,,1988
சிலம்பின் கதை,https://ta.wikisource.org/wiki/சிலம்பின் கதை,பேரா. டாக்டர். ரா. சீனிவாசன்,,1998
நபிகள் நாயகம்-சரித்திர நிகழ்ச்சிகள்,https://ta.wikisource.org/wiki/நபிகள் நாயகம்-சரித்திர நிகழ்ச்சிகள்,முல்லை முத்தையா,,2003
கிரேக்க நாட்டுப் பழமைப் பண்புகள்,https://ta.wikisource.org/wiki/கிரேக்க நாட்டுப் பழமைப் பண்புகள்,பாலூர் கண்ணப்ப முதலியார்,வரலாறு,1968
நடிகவேள் எம். ஆர். இராதாவின் சிறைச்சாலைச் சிந்தனைகள்,https://ta.wikisource.org/wiki/நடிகவேள் எம். ஆர். இராதாவின் சிறைச்சாலைச் சிந்தனைகள்,விந்தன்,,1995
உலக அறிஞர்களின் நம்மை மேம்படுத்தும் எண்ணங்கள்,https://ta.wikisource.org/wiki/உலக அறிஞர்களின் நம்மை மேம்படுத்தும் எண்ணங்கள்,என். வி. கலைமணி,,2000
என் பார்வையில் கலைஞர்,https://ta.wikisource.org/wiki/என் பார்வையில் கலைஞர்,சு. சமுத்திரம்,வாழ்க்கை வரலாறு,2000
தமிழ் வளர்த்த நகரங்கள்,https://ta.wikisource.org/wiki/தமிழ் வளர்த்த நகரங்கள்,அ. க. நவநீதகிருட்டிணன்,,1960
நித்திலவல்லி,https://ta.wikisource.org/wiki/நித்திலவல்லி,நா. பார்த்தசாரதி,வரலாற்றுப் புதினங்கள்,1971
எனது நாடக வாழ்க்கை,https://ta.wikisource.org/wiki/எனது நாடக வாழ்க்கை,அவ்வை தி. க. சண்முகம்,தன்வரலாறு,1986
பல்லவர் வரலாறு,https://ta.wikisource.org/wiki/பல்லவர் வரலாறு,டாக்டர். மா. இராசமாணிக்கனார்,வரலாறு,1944
