identifier,identifier_pmid,title,creator,subject,rights,source,file_names_html,text_links_list
11,5,நாலாயிர திவ்ய பிரபந்தம் / திருப்பாவை,ஆண்டாள்,சமயம் - வைணவம்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0005_02.html,pmuni0005_02.txt
12,5,நாலாயிர திவ்ய பிரபந்தம் / நாச்சியார் திருமொழி,ஆண்டாள்,சமயம் - வைணவம்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0005_02.html,pmuni0005_02.txt
13,5,நாலாயிர திவ்ய பிரபந்தம் / பெருமாள் திருமொழி,குலசேகரப் பெருமாள்,சமயம் - வைணவம்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0005_02.html,pmuni0005_02.txt
14,5,நாலாயிர திவ்ய பிரபந்தம் / திருச்சந்த விருத்தம்,திருமழிசைபிரான்,சமயம் - வைணவம்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0005_02.html,pmuni0005_02.txt
15,5,நாலாயிர திவ்ய பிரபந்தம் / திருப்பள்ளியெழுச்சி,தொண்டரடிப்பொடி ஆழ்வார்,சமயம் - வைணவம்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0005_02.html,pmuni0005_02.txt
16,5,நாலாயிர திவ்ய பிரபந்தம் / அமலநாதிபிரான்,திருப்பாணாழ்வார்,சமயம் - வைணவம்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0005_02.html,pmuni0005_02.txt
17,5,நாலாயிர திவ்ய பிரபந்தம் / கண்ணி நூற்றைம்பது,மதுர கவிராயர்,சமயம் - வைணவம்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0005_02.html,pmuni0005_02.txt
18,5,நாலாயிர திவ்ய பிரபந்தம் / திருமாலை,தொண்டரடிப்பொடி ஆழ்வார்,சமயம் - வைணவம்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0005_02.html,pmuni0005_02.txt
19,6,நாலாயிர திவ்ய பிரபந்தம் / பெரிய திருமொழி,திருமங்கை ஆழ்வார்,சமயம் - வைணவம்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0006_01.html | pmuni0006_02.html,pmuni0006_01.txt | pmuni0006_02.txt
20,7,நாலாயிர திவ்ய பிரபந்தம் / சிறிய திருமுறை,திருமங்கை ஆழ்வார்,சமயம் - வைணவம்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0007.html,pmuni0007.txt
